period,stateid,stateDescription,sectorid,sectorName,customers,price,revenue,sales,customers-units,price-units,revenue-units,sales-units
2025-01,MAT,Middle Atlantic,COM,commercial,2452974,16.68,2203.1261,13204.65152,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,MAT,Middle Atlantic,IND,industrial,38787,9.89,572.49313,5786.77082,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,MAT,Middle Atlantic,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,MAT,Middle Atlantic,RES,residential,16727919,20.75,2937.53001,14157.35197,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,MAT,Middle Atlantic,TRA,transportation,20,12.67,45.3846,358.15136,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,MD,Maryland,ALL,all sectors,2727500,16.22,1009.77566,6224.11483,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,MD,Maryland,COM,commercial,261912,14.08,352.93427,2507.53232,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,MD,Maryland,IND,industrial,9258,11.61,33.54055,288.80384,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,MD,Maryland,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,MD,Maryland,RES,residential,2456325,18.26,618.90036,3389.648,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,MD,Maryland,TRA,transportation,5,11.54,4.40048,38.13067,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,ME,Maine,ALL,all sectors,870839,21.7,222.8998,1027.19385,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,ME,Maine,COM,commercial,113313,19.48,71.71275,368.17183,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,ME,Maine,IND,industrial,1911,15.37,30.03903,195.38299,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,ME,Maine,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
